booking_id,booking_date,hotel_type,location,demand,star_rating,ac_type,lead_time,stay_duration,price_per_night,total_cost,is_canceled
1,2024-06-12,City,Mumbai,Very High,4,ac,83,5,7149,35745,0
2,2025-04-25,Resort,Goa,Very High,3,ac,86,3,4371,13113,0
3,2025-11-18,Resort,Shimla,Very High,normal,ac,66,1,1818,1818,1
4,2024-01-04,Resort,Munnar,High,4,ac,72,4,5189,20756,1
5,2024-04-18,City,Kolkata,High,3,ac,36,1,2156,2156,1
6,2025-11-22,City,Pune,High,3,nonac,58,2,2302,4604,0
7,2024-06-11,City,Kolkata,High,normal,nonac,72,7,967,6769,0
8,2024-11-20,Resort,Kasauli,Medium,4,nonac,24,8,2801,22408,0
9,2025-10-06,Resort,Andaman Islands,High,3,ac,40,2,2874,5748,1
10,2024-08-19,Resort,Kodaikanal,Low,3,ac,97,2,1728,3456,1
11,2024-08-27,City,Surat,Medium,5,ac,69,9,9738,87642,1
12,2024-10-18,Resort,Ooty,High,3,nonac,74,7,2103,14721,0
13,2024-12-05,Resort,Munnar,High,4,ac,76,5,5510,27550,1
14,2025-03-03,City,Ahmedabad,Medium,4,ac,14,6,3635,21810,1
15,2025-05-17,City,Delhi,Very High,normal,ac,41,3,1582,4746,0
16,2025-12-07,City,Mumbai,Very High,4,nonac,25,4,3517,14068,1
17,2025-03-25,City,Pune,High,3,ac,53,5,3277,16385,0
18,2024-07-12,City,Bhopal,Low,4,ac,48,5,3134,15670,1
19,2024-07-29,City,Bengaluru,Very High,4,ac,99,3,6489,19467,0
20,2025-12-26,City,Hyderabad,High,3,ac,25,5,2813,14065,0
21,2024-08-14,Resort,Kasauli,Medium,3,nonac,44,8,1750,14000,1
22,2024-02-01,City,Kolkata,High,4,ac,86,8,4810,38480,1
23,2024-06-28,City,Pune,High,3,ac,46,1,3282,3282,1
24,2025-04-28,City,Ahmedabad,Medium,4,nonac,61,8,1970,15760,0
25,2024-05-30,City,Delhi,Very High,normal,ac,68,1,1572,1572,0
26,2024-11-26,Resort,Andaman Islands,High,4,ac,19,3,4738,14214,0
27,2025-07-25,City,Surat,Medium,3,ac,20,1,2227,2227,0
28,2024-01-28,City,Jaipur,Medium,4,nonac,27,4,3408,13632,1
29,2024-05-08,Resort,Rishikesh,High,normal,ac,23,4,1389,5556,0
30,2025-09-05,City,Surat,Medium,3,ac,39,8,2528,20224,1
31,2025-08-30,Resort,Manali,Very High,4,nonac,47,3,5017,15051,1
32,2024-06-22,City,Mumbai,Very High,3,ac,77,4,3499,13996,1
33,2024-05-26,City,Bengaluru,Very High,5,nonac,44,3,10917,32751,0
34,2024-09-26,Resort,Manali,Very High,4,nonac,47,2,6294,12588,1
35,2025-02-09,Resort,Lonavala,Medium,5,nonac,79,1,4563,4563,0
36,2024-12-18,Resort,Rishikesh,High,3,ac,80,1,2877,2877,0
37,2025-02-06,City,Kolkata,High,normal,ac,39,8,1308,10464,0
38,2025-02-03,City,Bengaluru,Very High,3,nonac,62,7,2680,18760,0
39,2025-06-17,Resort,Andaman Islands,High,3,nonac,42,3,1896,5688,0
40,2024-11-19,City,Ahmedabad,Medium,3,ac,48,5,2284,11420,1
41,2025-01-19,City,Kochi,Medium,4,ac,90,1,4216,4216,1
42,2025-07-22,City,Kolkata,High,4,ac,58,6,4107,24642,0
43,2024-09-23,City,Kochi,Medium,normal,nonac,26,5,380,1900,0
44,2024-08-20,Resort,Munnar,High,4,nonac,7,5,4086,20430,0
45,2025-10-23,City,Pune,High,3,ac,65,8,2856,22848,1
46,2025-03-25,Resort,Coorg,High,3,ac,73,2,3252,6504,0
47,2025-02-09,City,Jaipur,Medium,3,ac,72,2,2029,4058,0
48,2025-09-22,City,Mumbai,Very High,3,ac,87,9,3766,33894,0
49,2024-11-12,City,Surat,Medium,4,ac,55,1,3205,3205,1
50,2024-04-23,City,Bengaluru,Very High,4,ac,63,2,7099,14198,1
51,2025-12-09,Resort,Goa,Very High,3,ac,79,8,4392,35136,0
52,2024-02-04,Resort,Mahabaleshwar,Medium,4,ac,18,7,5123,35861,0
53,2025-03-26,Resort,Kodaikanal,Low,3,ac,54,1,1259,1259,1
54,2024-12-31,Resort,Udaipur,Very High,4,nonac,61,4,6210,24840,0
